gene,exocarta_detected,evidence
OLFM4,True,EBV-GC exosome secretion (2024); ExoCarta record
ITLN1,False,Classically secreted lectin
REG4,False,"Classically secreted, no strong EV evidence"
FABP1,True,Vesiclepedia: detected in hepatocyte-derived EVs
MUC17,False,"Large transmembrane mucin, unlikely EV cargo"
CLDN4,True,Vesiclepedia: ovarian/colorectal cancer exosomes
CPS1,True,"Vesiclepedia: mitochondrial, found in apoptotic bodies"
ANPEP,True,"CD13/aminopeptidase N, known EV marker"
CLDN7,True,"ExoCarta: tight junction, colorectal exosomes"
ANK3,False,"Cytoskeletal, no EV evidence"
MUC13,True,Vesiclepedia: colorectal cancer exosomes
IDH2,True,"Vesiclepedia: mitochondrial, non-specific"
PRAP1,False,"Small secreted protein, no EV evidence"
MUC5AC,False,"Secreted mucin, too large for EV packaging"
TOLLIP,False,Cytoplasmic adaptor
CCL3,True,"Chemokine, EV-associated in inflammation"
GAST,False,Classically secreted hormone
POMP,False,"Proteasome maturation protein, intracellular"
PSCA,True,"GPI-anchored, EV-associated in prostate/pancreatic cancer"
