gene,hpa_main_location,hpa_additional_location,hpa_extracellular,stomach_nTPM,intestine_nTPM,liver_nTPM,max_nTPM,max_tissue,gi_specificity
OLFM4,Nucleoplasm;Plasma membrane,Cytokinetic bridge;Cytosol,Predicted to be secreted,15.6,1259.1,0.9,1259.1,small intestine,1.012
ITLN1,,,,15.4,1210.7,3.0,1210.7,rectum,1.013
REG4,,,,18.5,644.3,0.3,644.3,small intestine,1.029
FABP1,Cytosol;Nucleoplasm,nan,nan,15.3,5302.5,12622.4,12622.4,liver,0.421
MUC17,,,,0.6,41.5,0.0,41.5,small intestine,1.014
CLDN4,Plasma membrane,nan,nan,12.9,249.2,4.6,296.4,esophagus,0.884
CPS1,Nucleoli;Nucleoli rim,nan,nan,0.5,206.0,1031.6,1031.6,liver,0.2
ANPEP,Plasma membrane,nan,nan,7.8,2318.1,263.7,2318.1,duodenum,1.003
CLDN7,Vesicles,Cell Junctions,nan,5.0,331.7,39.2,331.7,colon,1.015
ANK3,Plasma membrane,nan,nan,14.7,37.9,16.0,132.2,cerebellum,0.398
MUC13,,,,34.4,597.4,3.6,597.4,duodenum,1.058
IDH2,Mitochondria,nan,nan,170.8,94.4,267.8,1548.2,tongue,0.171
PRAP1,,,,2.8,1103.8,653.6,1103.8,small intestine,1.003
MUC5AC,Vesicles,nan,Predicted to be secreted,180.4,0.2,0.0,180.4,stomach,1.001
TOLLIP,Cytosol,nan,nan,31.0,25.4,110.5,136.1,cerebral cortex,0.414
CCL3,,,,2.9,3.1,12.6,76.2,bone marrow,0.079
GAST,,,,9294.1,55.5,0.0,9294.1,stomach,1.006
POMP,Nuclear speckles,nan,nan,95.0,143.4,223.0,226.8,tongue,1.051
PSCA,Plasma membrane,nan,nan,2937.1,7.6,0.6,2937.1,stomach,1.003
