PG.ProteinAccessions,PG.Genes,PG.ProteinNames,[1] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-1.htrms.PG.Quantity,[2] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-2.htrms.PG.Quantity,[3] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-3.htrms.PG.Quantity,[4] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-4.htrms.PG.Quantity,[5] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-5.htrms.PG.Quantity,[6] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-6.htrms.PG.Quantity,[7] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-7.htrms.PG.Quantity,[8] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-8.htrms.PG.Quantity,[9] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-9.htrms.PG.Quantity,[10] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-10.htrms.PG.Quantity,[11] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-11.htrms.PG.Quantity,[12] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-12.htrms.PG.Quantity,[13] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-13.htrms.PG.Quantity,[14] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-14.htrms.PG.Quantity,[15] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-15.htrms.PG.Quantity,[16] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-16.htrms.PG.Quantity,[17] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-17.htrms.PG.Quantity,[18] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-18.htrms.PG.Quantity,[19] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-19.htrms.PG.Quantity,[20] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-19b.htrms.PG.Quantity,[21] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-20.htrms.PG.Quantity,[22] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-21.htrms.PG.Quantity,[23] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-22.htrms.PG.Quantity,[24] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-23.htrms.PG.Quantity,[25] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-24.htrms.PG.Quantity,[26] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-25.htrms.PG.Quantity,[27] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-26.htrms.PG.Quantity,[28] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-27.htrms.PG.Quantity,[29] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-28.htrms.PG.Quantity,[30] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-29.htrms.PG.Quantity,[31] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-29b.htrms.PG.Quantity,[32] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-30.htrms.PG.Quantity,[33] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-31.htrms.PG.Quantity,[34] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-32.htrms.PG.Quantity,[35] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-33.htrms.PG.Quantity,[36] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-34.htrms.PG.Quantity,[37] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-35.htrms.PG.Quantity,[38] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-36.htrms.PG.Quantity,[39] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-37.htrms.PG.Quantity,[40] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-38.htrms.PG.Quantity,[41] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-39.htrms.PG.Quantity,[42] 20180615_QHF_TD_ColHF-35_Touati-DIA-Sple-40.htrms.PG.Quantity
A0A075B6K5;P80748,IGLV3-9;IGLV3-21,LV39_HUMAN;LV321_HUMAN,,,12540.0625,,,,,,8540.763671875,10458.6416015625,,,,,,,,,,,,,,,24174.076171875,,,,15619.4267578125,,18040.857421875,,,,,,,,,,,
A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310,IGKV2-28;IGKV2D-29;IGKV2D-30;IGKV2-40;IGKV2D-26;IGKV2-29;IGKV2D-40;IGKV2D-28;IGKV2-30,KV228_HUMAN;KVD29_HUMAN;KVD30_HUMAN;KV240_HUMAN;KVD26_HUMAN;KV229_HUMAN;KVD40_HUMAN;KVD28_HUMAN;KV230_HUMAN,30648.44140625,14865.02734375,43019.5546875,27989.10546875,66420.234375,56719.0703125,,,111579.7421875,,39653.69140625,53617.05078125,22940.380859375,,26678.080078125,9116.3935546875,30685.517578125,19698.98828125,,18869.48046875,,19119.119140625,20188.20703125,32919.01171875,57988.00390625,76118.8203125,31073.544921875,27584.3046875,,,,22996.087890625,,33421.4375,34740.0,,,,14485.998046875,,13245.75390625,88243.0859375
A0A0C4DH38,IGHV5-51,HV551_HUMAN,,,12745.4765625,,,,,,,10512.6689453125,15233.806640625,,,,,,8514.5439453125,,,,,,,11247.90234375,,,,,,,,,,66667.5,,,,,,,,
A1L4H1,SSC5D,SRCRL_HUMAN,63943.71875,25345.1640625,45265.4453125,18056.841796875,19690.126953125,15537.478515625,41966.34765625,43969.18359375,34409.86328125,8624.97265625,40658.03515625,37781.62109375,40812.7109375,49503.4296875,54044.74609375,34989.88671875,37659.65625,30796.373046875,60767.14453125,50611.93359375,41068.8515625,36056.1015625,38499.9921875,48838.8046875,28622.724609375,49594.875,37572.73046875,24384.18359375,60083.53125,43425.98828125,29014.3359375,25972.23046875,59490.765625,40110.79296875,31411.052734375,14798.29296875,29337.6953125,50007.30859375,15990.16796875,31505.77734375,60589.53515625,30350.5859375
A8K2U0,A2ML1,A2ML1_HUMAN,,,39977.21875,,,84932.2734375,,,,63518.4453125,,25763.859375,,,,,45603.6875,,9467.9619140625,8571.90234375,36423.63671875,,24215.162109375,,51904.64453125,,15641.20703125,22919.650390625,,,,21093.84765625,,,,,30161.30078125,,,,,
B9A064;P0CG04,IGLL5;IGLC1,IGLL5_HUMAN;IGLC1_HUMAN,199725.5,119224.2109375,226247.4375,,130469.5625,147418.78125,197514.921875,67945.5703125,207090.234375,199334.609375,98625.328125,239809.53125,195110.875,193068.390625,,250094.21875,135298.25,94479.2578125,159477.203125,140294.28125,,,,,197494.953125,151574.25,,104870.453125,162925.90625,124351.65625,124372.5,212077.71875,214191.359375,136556.828125,117381.03125,146426.515625,108393.484375,185186.53125,112790.25,206381.078125,69630.140625,155691.375
O00187,MASP2,MASP2_HUMAN,1471739.375,1063708.75,1155664.5,1713380.125,1089078.0,1010523.0,1367551.625,820233.6875,886500.6875,647290.25,1575350.375,845144.875,858642.4375,1217423.875,869971.5,947543.625,389429.9375,829173.5,1232039.625,1261708.75,792135.0,783084.25,643246.125,1393541.0,803965.3125,1209184.5,725803.625,756081.875,1098894.75,340696.5625,862633.6875,600742.875,1137382.25,1247266.875,1069615.0,1689335.0,462191.03125,1164883.5,827699.3125,1005606.375,886187.375,911277.4375
O00391,QSOX1,QSOX1_HUMAN,1845656.5,1634284.5,1200433.5,1244406.125,1071518.625,818261.75,1162330.625,1025237.0625,980580.8125,580821.625,1032623.875,1028807.75,941368.875,1308723.5,757593.25,804551.5,833346.1875,1072668.0,1555343.0,1108672.5,569140.5,746259.1875,664371.0625,880074.3125,914276.125,808926.125,653793.8125,669221.875,1137876.875,1196956.5,977183.5625,930177.25,1392539.75,845866.875,1495696.5,1084714.0,758007.75,992410.25,1146595.75,1450075.5,1242397.0,1254898.125
O00533,CHL1,NCHL1_HUMAN,574049.125,756532.4375,313834.375,351873.6875,490108.4375,258640.6875,451475.0,479558.09375,446811.34375,260405.875,186037.453125,608972.5625,589178.8125,424216.8125,309178.625,287727.21875,360960.125,357458.0625,433804.65625,439716.625,384657.09375,332393.8125,274940.25,530577.875,403498.0,345136.1875,249878.03125,325480.40625,316999.5,731928.375,618766.5625,428400.375,458924.6875,277051.59375,376875.6875,446896.78125,169718.3125,318090.25,289335.96875,575461.5625,355306.84375,400473.875
O00592,PODXL,PODXL_HUMAN,180737.171875,123142.109375,88466.265625,115659.65625,108252.7890625,60448.9765625,147693.5625,77223.5625,59622.33203125,38400.015625,62351.296875,59762.6953125,66200.8203125,76366.6015625,62019.34375,36273.46875,51423.2421875,74858.328125,90749.390625,86733.546875,61765.484375,63183.30859375,37684.07421875,58194.80859375,59763.94140625,60401.73046875,65389.890625,62439.5078125,54040.07421875,107134.921875,66425.140625,39161.4453125,43878.35546875,75160.6484375,59398.578125,93910.609375,42546.5546875,78657.765625,43358.66015625,82109.03125,54297.0546875,37971.0234375
