gene,uniprot_accession,has_signal_peptide,signal_peptide_pos,has_transit_peptide,subcellular_location
OLFM4,Q6UX06,True,1-20,False,"Secreted, extracellular space; Mitochondrion"
ITLN1,Q8WWA0,True,1-18,False,Cell membrane; Secreted
REG4,Q9BYZ8,True,1-22,False,Secreted
FABP1,P07148,False,,False,Cytoplasm
MUC17,Q685J3,True,1-25,False,Cell membrane
CLDN4,O14493,False,,False,"Cell junction, tight junction; Cell membrane"
CPS1,P31327,False,,True,"Mitochondrion; Nucleus, nucleolus; Cell membrane"
ANPEP,P15144,False,,False,Cell membrane
CLDN7,O95471,False,,False,"Cell membrane; Basolateral cell membrane; Cell junction, tight junction"
ANK3,Q12955,False,,False,"Cytoplasm, cytoskeleton; Cell projection, axon; Cell membrane, sarcolemma; Postsynaptic cell membrane; Lysosome; Cell membrane, sarcolemma, T-tubule"
MUC13,Q9H3R2,True,1-18,False,Cell membrane; Apical cell membrane; Secreted
IDH2,P48735,False,,True,Mitochondrion
PRAP1,Q96NZ9,True,1-20,False,Secreted; Endoplasmic reticulum
MUC5AC,P98088,True,1-27,False,Secreted
TOLLIP,Q9H0E2,False,,False,Cytoplasm; Endosome; Early endosome
CCL3,P10147,True,1-23,False,Secreted
GAST,P01350,True,1-21,False,Secreted
POMP,Q9Y244,False,,False,"Cytoplasm, cytosol; Nucleus; Microsome membrane"
PSCA,O43653,True,1-11,False,Cell membrane
